Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Especificaciones_Tec_1 (product.metafields.custom.caracteristicas),Caracteristica_1 (product.metafields.custom.caracteristica_1),Caracteristica_2 (product.metafields.custom.caracteristica_2),Característica_3 (product.metafields.custom.caracteristica_3),Característica_4 (product.metafields.custom.caracteristica_4),Característica_5 (product.metafields.custom.caracteristica_5),Caracteristica_6 (product.metafields.custom.caracteristica_6),Color (product.metafields.custom.color),Descripción (product.metafields.custom.descripcion),Dimensiones (product.metafields.custom.dimensiones),Peso (kg) (product.metafields.custom.peso_kg),SKU (product.metafields.custom.sku),Titulo_1 (product.metafields.custom.titulo_1),Titulo_2 (product.metafields.custom.titulo_2),Titulo_3 (product.metafields.custom.titulo_3),Titulo_4 (product.metafields.custom.titulo_4),Titulo_5 (product.metafields.custom.titulo_5),Titulo_6 (product.metafields.custom.titulo_6),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Número de calificaciones del producto (product.metafields.reviews.rating_count),Automatización (product.metafields.shopify.automation),Tipo de entrada de café (product.metafields.shopify.coffee-input-type),Color (product.metafields.shopify.color-pattern),Tipo de caldera de máquina espresso (product.metafields.shopify.espresso-boiler-type),Material (product.metafields.shopify.material),Sistema de espumado de leche (product.metafields.shopify.milk-frothing-system),Tipo de montura (product.metafields.shopify.mounting-type),Fuente de alimentación (product.metafields.shopify.power-source),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
licuadora-philips-serie-5000-de-1200-w-con-jarra-de-vidrio-hr2242-91,Licuadora Philips Serie 5000 de 1200 W con Jarra de vidrio- HR2242/91,"<p><span class=""a-list-item"">RENDIMIENTO DE MEZCLA POTENTE: Motor de 1200W ofrece una mezcla eficiente para smoothies, sopas, salsas, bebidas congeladas y preparación de alimentos; diseñado para un procesamiento rápido de ingredientes con resultados suaves y consistentes.</span></p>",Philips,Sin categoría,"",Licuadora,true,Title,Default Title,,,,,,,,HR2242/91,2540.0,,29,deny,manual,2199.00,1799.00,false,false,,,,,'8720389020544,https://cdn.shopify.com/s/files/1/0671/3609/4250/files/3d57dcc3-c285-4b81-89e4-4b9a62fc6861.ed50b7eff414e47174fa864e6c3886d3.avif?v=1781562409,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,HR2242/91,,,,,,,,,,,,,,,,,,kg,,,unlisted
cafetera-espresso-philips-serie-3300-superautomatica-y-lattego-ep3341-50-copy,"Philips Serie 3300 Cafetera Superautomática, Espumador de leche clásico, 5 tipos de café, SilentBrew, Molinillo Cerámico, negro (EP3326/90)","<p>Disfruta de 5 bebidas calientes y refrescantes con un solo toque, con la crema, el aroma y la temperatura perfectos. </p>",Philips Home,Sin categoría,"","",true,Title,Default Title,,,,,,,,EP3326/90,8400.0,,25,deny,manual,15999.00,14999.00,false,false,,,,,'196592000662,https://cdn.shopify.com/s/files/1/0671/3609/4250/files/EP3326_90_EN_cebaea3ac7c09017e1d493535e7977e0ba75665e_79dfbb9e-121a-4c8b-9221-b325665d14b8.png?v=1780694417,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,EP3326/90,,,,,,,,,,,,,,,,,,kg,,,unlisted
cafetera-espresso-philips-serie-3300-superautomatica-y-lattego-ep3341-50-copy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0671/3609/4250/files/EP3326_90_EN-10_6230ddc5f35966d6406bfe3fd3254e84768ac345.png?v=1780694126,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cafetera-espresso-philips-serie-3300-superautomatica-y-lattego-ep3341-50-copy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0671/3609/4250/files/EP3326_90_EN-1_b37cf8b8ad4962e2ca0d0bb534db880101107f5b.png?v=1780694434,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cecotec-licuadora-grand-katana-2700max-total-destroy-w,Cecotec Licuadora Grand Katana 2700MAX Total Destroy W,"Potencia máxima: sus 2700 W y sus 3,6 CV consiguen un triturado perfecto sin esfuerzo.<br>TotalDestroy: innovador sistema de cuchillas contrarrotantes con giro inverso que consigue triturar el 100% del alimento, incluso los más duros, con resultados extra finos.<br>Rápido triturado: tritura hasta los alimentos más duros en muy poco tiempo.<br>8 hojas de titanio: innovador sistema de cuchillas con recubrimiento de titanio que aumenta su eficacia y durabilidad para conseguir siempre cortes perfectos.<br>Gran capacidad: jarra termorresistente de vidrio fundido de alta resistencia con 1,8 litros de capacidad.<br>Texturas ideales: dispone de 5 velocidades para adaptarse a las necesidades de todos los alimentos, consiguiendo siempre las mejores texturas.<br>Función Turbo: tritura y pulveriza a máxima velocidad hasta los alimentos más duros, además de picar hielo.<br>Limpieza fácil: su sistema Easy Clean hace que las cuchillas sean desmontables para una limpieza precisa de la forma más fácil.<br>Doble cierre de seguridad: la batidora sólo se activará si tanto la tapa como la jarra están bien colocadas.<br>Directa al lavavajillas: su jarra es apta para lavavajillas, con lo que la podrás limpiar sin ningún problema.",CECOTEC,,"",licuadora Cecotec,false,Title,Default Title,,,,,,,,A01_AM01_003983,6800.0,shopify,40,deny,manual,4199.00,0.00,true,true,,,,,'8447420044177,https://cdn.shopify.com/s/files/1/0671/3609/4250/files/37d031db-84fd-4a89-bf51-8cd6199f8f2c.png?v=1778601405,1,png_1500x1500_70369157,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,active
cecotec-licuadora-grand-katana-2700max-total-destroy-w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0671/3609/4250/files/eb097dff-3b5e-45a1-b5e5-e62d97619b05.png?v=1778601406,2,png_1500x1500_70369158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cecotec-licuadora-grand-katana-2700max-total-destroy-w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0671/3609/4250/files/5c7dba0f-98f1-4bb3-b178-31f8fde33279.jpg?v=1778601404,3,jpg_1500x1500_70369159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cecotec-licuadora-grand-katana-2700max-total-destroy-w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0671/3609/4250/files/9327164c-e43b-4517-965c-663ccec6f38a.jpg?v=1778601404,4,jpg_1500x1500_70369160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cecotec-licuadora-grand-katana-2700max-total-destroy-w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0671/3609/4250/files/a576587b-5f9e-466d-b38c-83e779e1bc3d.jpg?v=1778601405,5,jpg_1500x1500_70369161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cecotec-licuadora-grand-katana-2700max-total-destroy-w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0671/3609/4250/files/6a3d4435-60c7-499d-9e79-68c1ade02029.jpg?v=1778601404,6,jpg_1500x1500_70369162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cecotec-licuadora-grand-katana-2700max-total-destroy-w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0671/3609/4250/files/14d39044-c6bb-4eca-a939-5ddc3b2d0caa.jpg?v=1778601405,7,jpg_1500x1500_70369163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
philips-cafetera-5000-licuadora-ep5544-hr2263,Philips Cafetera 5000 + Licuadora (EP5544 + HR2263),Philips Cafetera 5000 + Licuadora (EP5544 + HR2263),Philips,Sin categoría,"","",false,Title,Default Title,,,,,,,,EP5544 + HR2263,11000.0,shopify,29,deny,manual,12099.00,21998.00,true,false,,,,,"",https://cdn.shopify.com/s/files/1/0671/3609/4250/files/f7d934b2-e7da-49f7-a501-741432076410.jpg?v=1775578604,1,jpg_1500x1500_69910193,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,active
