Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Asistente de voz (product.metafields.custom.asistente_de_voz),Característica 1 (product.metafields.custom.caracteristica_1),Característica 2 (product.metafields.custom.caracteristica_2),Característica 3 (product.metafields.custom.caracteristica_3),Característica 4 (product.metafields.custom.caracteristica_4),Característica 5 (product.metafields.custom.caracteristica_5),Característica 6 (product.metafields.custom.caracteristica_6),Color (product.metafields.custom.color),Comodidad (product.metafields.custom.comodidad),Conectividad (product.metafields.custom.conectividad),Contenido de la caja (product.metafields.custom.contenido_de_la_caja),Dimensiones del producto (product.metafields.custom.dimensiones_del_producto),Display (product.metafields.custom.display),Formas de audio compatibles (product.metafields.custom.formas_de_audio_compatibles),Garantía limitada por defecto de fábrica (product.metafields.custom.garantia_limitada_por_defecto_de_fabrica),Parlantes (product.metafields.custom.parlantes),Potencia (product.metafields.custom.potencia),Sistema de sonido (product.metafields.custom.sistema_de_sonido),Sonido (product.metafields.custom.sonido),Título característica 1 (product.metafields.custom.titulo_caracteristica_1),Título característica 2 (product.metafields.custom.titulo_caracteristica_2),Título característica 3 (product.metafields.custom.titulo_caracteristica_3),Título característica 4 (product.metafields.custom.titulo_caracteristica_4),Título característica 5 (product.metafields.custom.titulo_caracteristica_5),Título característica 6 (product.metafields.custom.titulo_caracteristica_6),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Número de calificaciones del producto (product.metafields.reviews.rating_count),Canal de salida de audio (product.metafields.shopify.audio-output-channel),Uso del audio (product.metafields.shopify.audio-purpose),Color (product.metafields.shopify.color-pattern),Tecnología de conectividad (product.metafields.shopify.connectivity-technology),Interfaz del dispositivo (product.metafields.shopify.device-interface),Tipo de montura (product.metafields.shopify.mounting-type),Fuente de alimentación (product.metafields.shopify.power-source),Diseño de altavoces (product.metafields.shopify.speaker-design),Características del altavoz (product.metafields.shopify.speaker-features),Tecnología de altavoces (product.metafields.shopify.speaker-technology),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Mexico,Price / Mexico,Compare At Price / Mexico,Status
philips-mini-bocina-in-ear-tas1209-tat1109bk,Philips Mini Bocina + In Ear (TAS1209 + TAT1109BK),"Disfruta tu música donde quieras con este bundle que incluye una bocina Bluetooth con graves potentes, resistencia a salpicaduras (IPX4) y función manos libres, junto con auriculares inalámbricos cómodos, con sonido dinámico y estuche de carga portátil.<br>Perfecto para el día a día, el gimnasio o actividades al aire libre, este combo te ofrece libertad, potencia y practicidad en todo momento.<br>Tu música te acompaña, sin límites.",Philips,Sin categoría,"","Combos, nuevo",true,Title,Default Title,,,,,,,,TAS1209 + TAT1109BK,400.0,shopify,deny,manual,629.00,898.00,true,false,,,,,0 7503028078936,https://cdn.shopify.com/s/files/1/0935/5768/6584/files/de93000c-733a-4278-9362-4ec91f94b3bb.jpg?v=1775495795,1,jpg_1500x1500_69879266,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,,,active
philips-mini-bocina-in-ear-tas1209-tat1109bk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0935/5768/6584/files/2e2d5c56-cab1-4f75-837d-e41f485b251d.jpg?v=1775495795,2,jpg_1500x1500_69946795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
philips-mini-bocina-in-ear-tas1209-tat1109bk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0935/5768/6584/files/a9b5a519-4aef-4a85-bfed-9eaa0b788d66.jpg?v=1775495795,3,jpg_1500x1500_69946796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
philips-mini-bocina-in-ear-tas1209-tat1109bk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0935/5768/6584/files/2924487b-6980-47cc-8578-8b1a5cf1ca65.png?v=1775495795,4,png_1500x1500_69946822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
philips-mini-bocina-in-ear-tas1209-tat1109bk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0935/5768/6584/files/c9383af8-d7a2-461b-ab08-c60fe505901f.png?v=1775495795,5,png_1500x1500_69946800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
philips-bocina-in-ear-tas5000eb-tat2149bk,Philips Bocina + In Ear (TAS5000EB + TAT2149BK ),"Lleva la música contigo a donde vayas con este bundle que combina un altavoz portátil resistente con graves profundos y luces de colores, perfecto para armar el ambiente en cualquier lugar, junto con auriculares inalámbricos ultracompactos, cómodos y con un sonido potente incluso a bajo volumen.<br>Ideal para fiestas, viajes o uso diario, este combo te da potencia, estilo y portabilidad en todo momento.<br>Disfruta tu música en grande… o en privado, tú eliges.",Philips,Sin categoría,"","Combos, nuevo",true,Title,Default Title,,,,,,,,TAS5000EB + TAT2149BK,2000.0,shopify,deny,manual,2599.00,3898.00,true,false,,,,,0 7503028078912,https://cdn.shopify.com/s/files/1/0935/5768/6584/files/ed476e19-f7b4-4158-897e-b0dead656a49.jpg?v=1775495797,1,jpg_1500x1500_69879272,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,,,active
philips-bocina-in-ear-tas5000eb-tat2149bk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0935/5768/6584/files/22d19a6b-eb9a-4504-95ea-792c5dbde0d8.jpg?v=1775495797,2,jpg_1500x1500_69946874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
philips-bocina-in-ear-tas5000eb-tat2149bk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0935/5768/6584/files/0444e57c-a232-497e-a209-0396b3c415bb.jpg?v=1775495797,3,jpg_1500x1500_69946875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
philips-bocina-in-ear-tas5000eb-tat2149bk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0935/5768/6584/files/e6057a88-8dc9-4ec5-b9fe-1976864c1908.jpg?v=1775495797,4,jpg_1500x1500_69946877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
philips-bocina-in-ear-tas5000eb-tat2149bk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0935/5768/6584/files/29f97372-b70b-47cb-97e0-6e340f0c1bbe.jpg?v=1775495797,5,jpg_1500x1500_69946878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
philips-audifonos-over-ear-kids-tah3209bk-tak4200bl,Philips Audifonos Over Ear + Kids (TAH3209BK + TAK4200BL),"El equilibrio perfecto entre tecnología y diversión. Este bundle incluye auriculares inalámbricos de diadema con sonido potente, Dynamic Bass y gran comodidad para el día a día, junto con auriculares infantiles con cable, ligeros, resistentes y con límite de volumen para un uso seguro.<br>Ideal para toda la familia: disfruta tu música con calidad mientras los más pequeños se divierten de forma segura.<br>Comodidad, seguridad y sonido para todos en un solo paquete.",Philips,Sin categoría,"","Combos, nuevo",true,Title,Default Title,,,,,,,,TAH3209BK + TAK4200BL,1600.0,shopify,deny,manual,899.00,1418.00,true,false,,,,,0 7503028078929,https://cdn.shopify.com/s/files/1/0935/5768/6584/files/c372a6aa-092f-40cb-bfc7-1f9d18cc60e5.jpg?v=1775495796,1,jpg_1500x1500_69879286,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,,,active
philips-audifonos-over-ear-kids-tah3209bk-tak4200bl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0935/5768/6584/files/4d0fc5f4-b258-4fb2-8a0d-da06e1b8bce2.jpg?v=1775495796,2,jpg_1500x1500_69946905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
philips-audifonos-over-ear-kids-tah3209bk-tak4200bl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0935/5768/6584/files/5a313739-8424-4435-9b95-333bc2ec9991.jpg?v=1775495796,3,jpg_1500x1500_69946904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
philips-audifonos-over-ear-kids-tah3209bk-tak4200bl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0935/5768/6584/files/80a0e146-46b4-4e77-bbf0-413b7c4c0638.jpg?v=1775495796,4,jpg_1500x1500_69946907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
philips-audifonos-over-ear-kids-tah3209bk-tak4200bl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0935/5768/6584/files/6de089b4-e919-40b4-ad12-4394763bc3bc.jpg?v=1775495796,5,jpg_1500x1500_69946906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
philips-audifonos-kids-tak2019pk-tak2019bl,Philips Audifonos Kids (TAK2019PK + TAK2019BL),"El combo perfecto para los pequeños amantes de la música. Este bundle incluye dos auriculares infantiles en colores rosa y azul, con un diseño divertido, cómodo y resistente, ideal para el uso diario.<br>Cuentan con sonido claro y límite de volumen de 85 dB, protegiendo los oídos de los niños mientras disfrutan de su música, videos o juegos de forma segura.<br>Comodidad, seguridad y estilo para cada personalidad.",Philips,Sin categoría,"","Combos, nuevo",true,Title,Default Title,,,,,,,,TAK2019PK + TAK2019BL,650.0,shopify,deny,manual,499.00,798.00,true,false,,,,,0 7503028078905,https://cdn.shopify.com/s/files/1/0935/5768/6584/files/dd6546b0-26e4-4036-913a-e3eb06fa11f7.jpg?v=1775495197,1,jpg_1500x1500_69879289,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,,,active
philips-audifonos-kids-tak2019pk-tak2019bl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0935/5768/6584/files/e868c13a-5816-43bb-a649-0d7cbe4f60f5.jpg?v=1775495196,2,jpg_1500x1500_69946914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
philips-audifonos-kids-tak2019pk-tak2019bl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0935/5768/6584/files/431c0bde-9908-4b88-9e2d-af8c75bc8164.jpg?v=1775495196,3,jpg_1500x1500_69946913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
philips-audifonos-kids-tak2019pk-tak2019bl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0935/5768/6584/files/455ae9a6-7540-4d21-9c58-128cb2bc3220.jpg?v=1775495196,4,jpg_1500x1500_69946917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
philips-audifonos-kids-tak2019pk-tak2019bl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0935/5768/6584/files/28ce99a9-fa6c-43a6-b203-6fcb8ef7105c.jpg?v=1775495197,5,jpg_1500x1500_69946916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b006-philips-audifonos-on-ear-mini-bocina-tah5209bk-tas1108,Philips Audifonos On Ear + Mini Bocina (TAH5209BK + TAS1108),"Disfruta de largas horas de música con este bundle que combina auriculares inalámbricos supraaurales, cómodos y con hasta 65 horas de reproducción, junto con una bocina Bluetooth con iluminación ambiental multicolor, perfecta para crear el ambiente ideal en cualquier momento.<br>Ideal para relajarte, trabajar o disfrutar tu música con estilo, este combo ofrece comodidad, autonomía y una experiencia envolvente.<br>Más que escuchar, vive tu música.",Philips,Sin categoría,"","Combos, nuevo",true,Title,Default Title,,,,,,,,TAH5209BK + TAS1108,1000.0,shopify,deny,manual,999.00,1538.00,true,false,,,,,0 7503028078943,https://cdn.shopify.com/s/files/1/0935/5768/6584/files/68c86858-f3e0-4c45-a3b9-3b98dbf15fd0.jpg?v=1775491618,1,jpg_1500x1500_69879296,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,,,active
b006-philips-audifonos-on-ear-mini-bocina-tah5209bk-tas1108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0935/5768/6584/files/b3e355de-bd81-4633-b5a1-b7140876adb1.jpg?v=1775491618,2,jpg_1500x1500_69947025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b006-philips-audifonos-on-ear-mini-bocina-tah5209bk-tas1108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0935/5768/6584/files/590791fd-a7c7-4f0d-b847-fc17853cfea6.jpg?v=1775491618,3,jpg_1500x1500_69947024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b006-philips-audifonos-on-ear-mini-bocina-tah5209bk-tas1108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0935/5768/6584/files/80d34c9d-fe7d-4fad-99d4-33840366c950.png?v=1775491618,4,png_1500x1500_69947020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b006-philips-audifonos-on-ear-mini-bocina-tah5209bk-tas1108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0935/5768/6584/files/7a9c0f12-c8c5-4a63-80a7-916c1f9ab022.png?v=1775491619,5,png_1500x1500_69947011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
philips-bocina-audifonos-tas1000b-tah6509bk,Philips Bocina + Audifonos (TAS1000B + TAH6509BK),"Disfruta lo mejor del sonido en cualquier momento con este bundle que combina un altavoz Bluetooth ultraportátil con graves potentes y diseño resistente a salpicaduras, junto con auriculares inalámbricos con cancelación de ruido adaptable para una experiencia inmersiva y cómoda todo el día.<br>Perfecto para llevar tu música a cualquier lugar y sumergirte en tu contenido sin distracciones, ya sea trabajando, viajando o entrenando.<br>Sonido, portabilidad y tecnología en un solo paquete.",Philips,Sin categoría,"","Combos, nuevo",true,Title,Default Title,,,,,,,,TAS1000B + TAH6509BK,450.0,shopify,deny,manual,1259.00,2248.00,true,false,,,,,0 7503028078899,https://cdn.shopify.com/s/files/1/0935/5768/6584/files/2d9f5e54-ccf5-453e-b9dd-cb75992a7f24.jpg?v=1775490998,1,jpg_1500x1500_69879280,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,'2,,,,,,,,,,,,kg,,,true,,,active
philips-bocina-audifonos-tas1000b-tah6509bk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0935/5768/6584/files/88d2b10b-c49b-40f1-93cb-8c3078357ef2.jpg?v=1775490998,2,jpg_1500x1500_69946895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
